local_id,remote_id.*
3292,reference/ml/X17ck 
3293,reference/ml/X17cj 
856,reference/ml/Zeugmann17b 
3518,journals/mss/HerdenP02 
1425,conf/icdem/SubbulakshmiSR10 
852,journals/candc/Lisy93 
853,conf/oodbs/88 
3513,series/sci/BianchiRM10 
3458,reference/ml/X17np 
3510,reference/ml/X17gt 
3516,reference/ml/X17gu 
3515,journals/ijfipm/Reyaz-AhmedHZ10 
3514,journals/jmlr/WangLCD10 
2688,journals/jcisd/SkolnikS75 
554,journals/jasis/LongoM81 
2685,conf/si3d/OBrienL10 
2708,reference/ml/X17ms 
2830,conf/robio/DoganEI11 
2680,reference/ml/Toivonen17a 
2681,reference/ml/Toivonen17b 
2682,reference/ml/Toivonen17c 
2683,reference/ml/DorigoBS17 
3467,reference/ml/X17hk 
846,reference/ml/Furnkranz17j 
3851,journals/jcisd/Cloutier91 
3195,reference/ml/X17d 
3356,conf/icassp/KonTMW11 
90,reference/ml/Baxter17a 
92,journals/datascience/Paterson03 
94,journals/jcisd/StrokovL99 
1991,journals/neuroimage/NouretdinovCGCVVF11 
1990,journals/jmlr/CavallantiCG10 
3205,journals/jcisd/LentznerM94 
1627,reference/ml/Strehl17 
3202,reference/ml/Holder17 reference/ml/Holder10 
1625,journals/jcisd/MilneNDWZ94 
2686,conf/hri/ShortFM11 
1998,journals/jcisd/Moll97 
3375,journals/jcisd/ThalmannT79 
3106,journals/ml/AbernethyCC10 
3623,journals/jcisd/HendlichRB97 
2621,conf/icann/OkadaHN10 
3011,phd/de/Weimer2010 
3443,conf/ijcnn/PhaniCR11 
3636,journals/jcisd/Heller85 
3637,reference/ml/X17m 
3634,conf/icmlc/LuT10 
3635,reference/ml/Procopiuc17 
1799,conf/cibcb/LoweBSOM11 
3630,journals/ml/TakenouchiI11 
3063,reference/ml/X17be 
3062,reference/ml/CorneHK17 
3061,reference/ml/X17bg 
3060,reference/ml/X17bf 
3066,reference/ml/X17by 
3065,reference/ml/X17cb reference/ml/X10bz 
2709,journals/jcisd/BarczaMMW86 
3068,reference/ml/X17bw 
2594,journals/jmlr/DonmezLB10 
2940,reference/ml/X17bj 
2345,journals/ml/AilonM10 
2344,conf/cicling/DalianisSS11 
2347,reference/ml/RayT17 reference/ml/RayT10 
2643,journals/jcisd/BegerBWL01 
993,reference/ml/Flach17a 
2343,journals/jcisd/DaszykowskiWM02a 
1191,reference/ml/Bruha17 
1190,reference/ml/X17ee 
1193,reference/ml/X17ei 
1192,reference/ml/X17ej 
1195,reference/ml/X17eg 
3344,conf/bibm/ErdogduTAPDR11 
1696,reference/ml/FurnkranzH17 
918,journals/jcisd/AllenKWC82 
1695,reference/ml/Branke17 
2458,reference/ml/Webb17c 
1759,reference/ml/X17iq 
